Date,Open,High,Low,Close
2025-02-20,97184.63000000,97374.00000000,97095.75000000,97373.98000000
2025-02-20,97373.98000000,97384.03000000,97156.19000000,97207.92000000
2025-02-20,97207.93000000,97549.88000000,97207.92000000,97428.36000000
2025-02-20,97428.37000000,97566.26000000,97268.51000000,97562.19000000
2025-02-20,97562.20000000,98062.15000000,96877.51000000,96966.91000000
2025-02-20,96966.92000000,97326.07000000,96799.42000000,96903.77000000
2025-02-20,96903.76000000,97968.00000000,96888.00000000,97550.73000000
2025-02-20,97550.73000000,97999.99000000,97541.40000000,97954.95000000
2025-02-20,97954.95000000,98436.00000000,97943.34000000,98295.08000000
2025-02-20,98295.09000000,98518.00000000,98241.99000000,98422.80000000
2025-02-20,98422.80000000,98711.36000000,98313.73000000,98453.61000000
2025-02-20,98453.61000000,98498.43000000,98000.00000000,98089.46000000
2025-02-20,98089.45000000,98371.66000000,98062.08000000,98134.95000000
2025-02-20,98134.95000000,98510.89000000,98115.00000000,98305.00000000
2025-02-21,98305.01000000,98505.00000000,98084.06000000,98236.32000000
2025-02-21,98236.32000000,98350.00000000,98113.20000000,98312.00000000
2025-02-21,98312.00000000,98373.72000000,98111.11000000,98111.12000000
2025-02-21,98111.13000000,98298.26000000,98085.15000000,98141.99000000
2025-02-21,98141.99000000,98271.15000000,98117.73000000,98204.01000000
2025-02-21,98204.02000000,98389.31000000,98156.94000000,98333.58000000
2025-02-21,98333.59000000,98421.35000000,98292.63000000,98409.99000000
2025-02-21,98410.00000000,98610.17000000,98172.00000000,98179.76000000
2025-02-21,98179.77000000,98261.91000000,98150.00000000,98213.41000000
2025-02-21,98213.41000000,98896.81000000,98111.11000000,98337.70000000
2025-02-21,98337.70000000,98679.83000000,98240.63000000,98612.00000000
2025-02-21,98612.00000000,98833.11000000,98490.57000000,98629.30000000
2025-02-21,98629.31000000,98957.93000000,98531.29000000,98904.00000000
2025-02-21,98903.99000000,99475.00000000,98800.00000000,99334.93000000
2025-02-21,99334.92000000,99380.17000000,98345.69000000,98777.77000000
2025-02-21,98777.78000000,99333.34000000,97177.31000000,98104.04000000
2025-02-21,98104.04000000,98757.00000000,97709.92000000,98215.81000000
2025-02-21,98215.81000000,98430.58000000,96832.01000000,96971.90000000
2025-02-21,96971.91000000,97223.40000000,96515.49000000,96543.52000000
2025-02-21,96543.52000000,96829.00000000,95247.15000000,95285.11000000
2025-02-21,95285.11000000,95671.90000000,94871.95000000,95066.25000000
2025-02-21,95066.24000000,95480.00000000,95006.13000000,95395.03000000
2025-02-21,95395.03000000,95930.60000000,95245.49000000,95823.53000000
2025-02-21,95823.53000000,96202.68000000,95666.88000000,96181.98000000
2025-02-22,96181.99000000,96214.59000000,95770.49000000,96185.90000000
2025-02-22,96185.91000000,96451.15000000,96123.72000000,96233.20000000
2025-02-22,96233.20000000,96455.97000000,96107.00000000,96343.22000000
2025-02-22,96343.22000000,96358.00000000,96156.53000000,96299.07000000
2025-02-22,96299.08000000,96470.59000000,96273.85000000,96387.36000000
2025-02-22,96387.36000000,96530.00000000,96312.00000000,96509.83000000
2025-02-22,96509.83000000,96578.99000000,96327.12000000,96395.18000000
2025-02-22,96395.19000000,96511.93000000,96288.09000000,96288.09000000
2025-02-22,96288.09000000,96348.60000000,96159.01000000,96219.80000000
2025-02-22,96219.81000000,96529.79000000,96151.00000000,96493.95000000
2025-02-22,96493.96000000,96583.70000000,96437.24000000,96500.16000000
2025-02-22,96500.17000000,96611.53000000,96500.16000000,96580.00000000
2025-02-22,96580.00000000,96980.00000000,96575.00000000,96823.94000000
2025-02-22,96823.94000000,96916.83000000,96523.98000000,96566.03000000
2025-02-22,96566.04000000,96716.71000000,96498.27000000,96535.90000000
2025-02-22,96535.91000000,96708.43000000,96485.37000000,96592.00000000
2025-02-22,96592.01000000,96811.03000000,96455.00000000,96504.01000000
2025-02-22,96504.01000000,96685.99000000,96476.00000000,96639.38000000
2025-02-22,96639.39000000,96823.53000000,96415.09000000,96449.99000000
2025-02-22,96449.98000000,96645.00000000,96345.49000000,96639.99000000
2025-02-22,96640.00000000,96645.00000000,96508.00000000,96578.01000000
2025-02-22,96578.01000000,96677.69000000,96527.20000000,96658.57000000
2025-02-22,96658.57000000,96700.00000000,96603.77000000,96634.06000000
2025-02-22,96634.06000000,96658.40000000,96472.22000000,96551.01000000
2025-02-23,96551.01000000,96650.00000000,96492.00000000,96643.46000000
2025-02-23,96643.47000000,96643.47000000,96355.17000000,96452.83000000
2025-02-23,96452.83000000,96500.00000000,96387.24000000,96410.27000000
2025-02-23,96410.28000000,96566.04000000,96371.95000000,96414.00000000
2025-02-23,96414.00000000,96520.00000000,96377.35000000,96395.88000000
2025-02-23,96395.88000000,96406.45000000,96194.65000000,96208.62000000
2025-02-23,96208.63000000,96352.95000000,96143.99000000,96342.91000000
2025-02-23,96342.92000000,96558.01000000,96298.37000000,96508.85000000
2025-02-23,96508.85000000,96508.86000000,96308.00000000,96364.32000000
2025-02-23,96364.32000000,96470.59000000,96255.61000000,96286.02000000
2025-02-23,96286.02000000,96298.87000000,96083.33000000,96193.88000000
2025-02-23,96193.89000000,96245.99000000,96085.70000000,96115.99000000
2025-02-23,96115.99000000,96158.50000000,95657.05000000,95732.93000000
2025-02-23,95732.94000000,95979.65000000,95721.33000000,95977.96000000
2025-02-23,95977.96000000,96049.44000000,95544.00000000,95593.89000000
2025-02-23,95593.88000000,95731.73000000,95414.25000000,95436.18000000
2025-02-23,95436.19000000,95624.31000000,95420.50000000,95420.50000000
2025-02-23,95420.51000000,95750.00000000,95227.94000000,95656.78000000
2025-02-23,95656.78000000,95876.00000000,95622.65000000,95740.00000000
2025-02-23,95739.99000000,95849.12000000,95702.08000000,95755.99000000
2025-02-23,95756.00000000,95811.44000000,95680.00000000,95777.70000000
2025-02-23,95777.71000000,95777.71000000,95637.45000000,95755.25000000
2025-02-23,95755.25000000,95940.83000000,95522.78000000,95787.13000000
2025-02-23,95787.14000000,96332.44000000,95774.60000000,96258.00000000
2025-02-24,96258.00000000,96500.00000000,96157.42000000,96247.35000000
2025-02-24,96247.36000000,96339.63000000,95763.43000000,95971.24000000
2025-02-24,95971.25000000,96200.00000000,95752.68000000,95829.35000000
2025-02-24,95829.36000000,95829.36000000,95311.00000000,95433.21000000
2025-02-24,95433.21000000,95597.02000000,95078.01000000,95298.00000000
2025-02-24,95298.00000000,95764.99000000,95240.01000000,95727.39000000
2025-02-24,95727.39000000,95896.00000000,95609.78000000,95864.31000000
2025-02-24,95864.31000000,95945.00000000,95696.00000000,95872.02000000
2025-02-24,95872.02000000,95945.00000000,95375.89000000,95509.49000000
2025-02-24,95509.50000000,96177.18000000,95499.94000000,95765.76000000
2025-02-24,95765.76000000,95915.97000000,95355.00000000,95631.66000000
2025-02-24,95631.66000000,95860.00000000,95411.01000000,95821.45000000
2025-02-24,95821.45000000,95946.61000000,95679.74000000,95798.46000000
2025-02-24,95798.46000000,96095.32000000,95339.35000000,95594.57000000
2025-02-24,95594.57000000,95800.00000000,94578.00000000,94674.44000000
2025-02-24,94674.45000000,94960.00000000,93817.06000000,94323.95000000
2025-02-24,94323.95000000,94980.00000000,94153.72000000,94434.49000000
2025-02-24,94434.48000000,95194.59000000,94328.01000000,94644.00000000
2025-02-24,94644.01000000,94852.59000000,94135.13000000,94161.67000000
2025-02-24,94161.66000000,94559.05000000,93666.22000000,93943.51000000
2025-02-24,93943.52000000,94571.43000000,93830.66000000,94020.00000000
2025-02-24,94019.99000000,94349.22000000,93618.00000000,93979.44000000
2025-02-24,93979.45000000,93996.00000000,92368.00000000,92432.06000000
2025-02-24,92432.07000000,92871.89000000,91349.26000000,91552.88000000
2025-02-25,91552.88000000,92162.37000000,90912.01000000,91857.29000000
2025-02-25,91857.30000000,92401.01000000,91165.18000000,92018.41000000
2025-02-25,92018.41000000,92536.93000000,91595.00000000,92376.68000000
2025-02-25,92376.68000000,92540.69000000,91944.73000000,92153.93000000
2025-02-25,92153.93000000,92327.88000000,91812.70000000,91900.01000000
2025-02-25,91900.01000000,92111.12000000,91706.87000000,92070.34000000
2025-02-25,92070.35000000,92128.51000000,91206.92000000,91275.99000000
2025-02-25,91276.00000000,91441.82000000,88200.00000000,89320.01000000
2025-02-25,89320.01000000,90000.00000000,89012.03000000,89400.53000000
2025-02-25,89400.54000000,89598.02000000,88289.63000000,88303.73000000
2025-02-25,88303.74000000,88905.67000000,86888.10000000,88213.77000000
2025-02-25,88213.76000000,89358.12000000,87618.90000000,89239.39000000
2025-02-25,89239.39000000,89531.25000000,88908.91000000,89395.98000000
2025-02-25,89395.99000000,89544.40000000,88750.41000000,88826.11000000
2025-02-25,88826.11000000,89384.65000000,87077.00000000,87157.25000000
2025-02-25,87157.25000000,87781.40000000,86050.99000000,87231.26000000
2025-02-25,87231.63000000,87777.00000000,86157.69000000,87460.00000000
2025-02-25,87459.99000000,87805.40000000,86831.52000000,87259.99000000
2025-02-25,87259.99000000,87791.56000000,86918.41000000,87070.07000000
2025-02-25,87070.07000000,88065.45000000,86508.76000000,87947.25000000
2025-02-25,87947.24000000,89013.66000000,87622.64000000,88161.03000000
2025-02-25,88161.03000000,88833.33000000,87761.90000000,88821.00000000
2025-02-25,88821.01000000,89460.17000000,88512.34000000,88807.64000000
